#mH    mA      mC       tb     cba       m122    wh          wH         wA          wC           N    SigmaxBR[fb]     DIRECTORY
525.09  716.2776  716.2776  1.5  0  127255.1575846154  0.00435086339  6.64787307  23.6853214  23.1004213  2  0.034150128957007475  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_525.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_127255.1575846154
575.09  716.2776  716.2776  1.5  0  152643.92681538465  0.00435098976  8.34503947  18.0349907  17.2293151  2  0.01146423529612065  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_575.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_152643.92681538465
625.09  716.2776  716.2776  1.5  0  180340.38835384618  0.00435112832  9.93101668  15.6540665  14.4102514  2  5.673898186458537e-05  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_625.09_mA_716.2776_mC_716.2776_tb_1.5_cba_0_m122_180340.38835384618
125.09  766.2776  766.2776  1.5  0  7221.926815384616  0.00435027259  0.00679846741  146.750935  146.640418  2  18.19700468132176  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  766.2776  766.2776  1.5  0  14149.157584615386  0.00435030195  0.0092085955  136.318417  136.204036  2  17.506203428781266  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  766.2776  766.2776  1.5  0  23384.08066153846  0.00435034116  0.011739868  123.274286  123.151746  2  16.581035522048893  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  766.2776  766.2776  1.5  0  34926.696046153855  0.00435039024  0.0146252082  108.309365  108.171757  2  15.332576891052037  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  766.2776  766.2776  1.5  0  48777.00373846155  0.00435044927  0.019901618  92.2256574  92.0627519  2  12.506591329175405  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_48777.00373846155
375.09  766.2776  766.2776  1.5  0  64935.00373846156  0.00435051831  0.931634872  75.8954624  75.6929403  2  0.2861706973320368  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_375.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_64935.00373846156
425.09  766.2776  766.2776  1.5  0  83400.69604615387  0.00435059743  2.88380354  60.2124386  59.9509918  2  0.09494473335617354  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_425.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_83400.69604615387
